var1,var2,pearson_r
x_11,x_36,0.70148289
x_21,x_34,0.70086737
x_5,x_11,0.70077750
x_21,x_35,0.70048644
x_10,x_21,0.70047382
x_9,x_24,0.70035482
x_11,x_35,0.70031850
x_11,x_37,0.70022301
x_11,x_34,0.69969182
x_3,x_11,0.69850653
x_11,x_22,0.69848911
x_11,x_17,0.69773394
x_5,x_21,0.69716761
x_9,x_11,0.69654799
x_33,x_34,0.69402656
x_33,y,0.66430675
x_36,x_38,0.65592957
x_12,x_20,0.65157073
x_7,x_30,0.65151229
x_10,x_12,0.65075884
x_7,x_12,0.65063671
x_30,x_32,0.65017649
x_3,x_7,0.64949633
x_15,x_16,0.64942783
x_30,x_38,0.64939569
x_3,x_20,0.64934798
x_7,x_36,0.64929304
x_7,x_31,0.64915144
x_3,x_36,0.64915023
x_31,x_36,0.64911852
x_16,x_27,0.64904086
x_30,x_35,0.64884335
x_15,x_20,0.64827201
x_17,x_27,0.64792270
x_15,x_30,0.64790615
x_12,x_27,0.64768453
x_18,x_39,0.64765651
x_7,x_27,0.64764308
x_22,x_27,0.64752853
x_36,x_37,0.64744929
x_5,x_30,0.64735277
x_17,x_32,0.64724373
x_6,x_20,0.64721858
x_32,x_35,0.64715855
x_12,x_31,0.64706888
x_3,x_32,0.64706279
x_20,x_27,0.64691015
x_7,x_17,0.64679904
x_10,x_32,0.64675009
x_12,x_38,0.64663133
x_9,x_36,0.64661114
x_12,x_30,0.64643015
x_9,x_20,0.64641327
x_35,x_38,0.64638285
x_31,x_38,0.64630198
x_20,x_32,0.64621495
x_16,x_20,0.64610577
x_32,x_36,0.64597510
x_12,x_35,0.64595404
x_12,x_16,0.64589236
x_35,x_37,0.64582021
x_12,x_15,0.64578774
x_15,x_35,0.64561048
x_20,x_37,0.64559330
x_3,x_30,0.64555731
x_3,x_34,0.64549433
x_15,x_36,0.64548983
x_3,x_38,0.64535829
x_7,x_10,0.64535550
x_20,x_34,0.64522875
x_3,x_31,0.64518497
x_7,x_32,0.64513125
x_15,x_31,0.64496284
x_20,x_38,0.64490333
x_27,x_37,0.64484166
x_15,x_34,0.64481252
x_17,x_30,0.64480352
x_7,x_20,0.64477105
x_7,x_38,0.64471410
x_16,x_38,0.64467530
x_3,x_22,0.64464905
x_34,x_36,0.64460722
x_16,x_35,0.64453954
x_12,x_36,0.64451277
x_22,x_32,0.64448480
x_6,x_35,0.64445568
x_15,x_27,0.64444084
x_6,x_7,0.64439895
x_37,x_38,0.64413878
x_20,x_31,0.64407480
x_31,x_32,0.64397484
x_15,x_38,0.64397148
x_7,x_16,0.64393044
x_3,x_35,0.64389036
x_3,x_27,0.64386028
x_5,x_16,0.64382335
x_16,x_34,0.64379712
x_27,x_31,0.64376132
x_12,x_17,0.64374662
x_6,x_32,0.64373642
x_3,x_37,0.64371257
x_6,x_16,0.64370604
x_17,x_20,0.64358308
x_7,x_22,0.64349003
x_27,x_36,0.64340078
x_17,x_31,0.64338041
x_9,x_31,0.64337340
x_9,x_34,0.64331513
x_30,x_36,0.64331284
x_27,x_30,0.64324702
x_16,x_31,0.64314654
x_5,x_38,0.64313780
x_10,x_27,0.64312583
x_15,x_32,0.64311795
x_3,x_6,0.64310818
x_20,x_36,0.64309064
x_6,x_34,0.64306858
x_16,x_36,0.64302845
x_16,x_22,0.64289960
x_16,x_17,0.64284432
x_30,x_34,0.64268070
x_27,x_38,0.64264562
x_12,x_22,0.64263242
x_30,x_31,0.64261940
x_20,x_22,0.64259718
x_7,x_34,0.64251994
x_20,x_30,0.64251235
x_27,x_34,0.64250494
x_12,x_37,0.64248844
x_6,x_12,0.64246124
x_6,x_31,0.64241004
x_5,x_12,0.64232904
x_32,x_38,0.64219932
x_34,x_38,0.64218824
x_5,x_7,0.64216616
x_5,x_32,0.64204463
x_3,x_10,0.64203607
x_15,x_37,0.64193789
x_5,x_27,0.64193722
x_12,x_34,0.64187942
x_6,x_36,0.64176014
x_3,x_15,0.64171975
x_6,x_15,0.64170030
x_10,x_30,0.64146203
x_35,x_36,0.64129092
x_6,x_30,0.64119906
x_22,x_30,0.64114586
x_12,x_32,0.64112901
x_32,x_37,0.64110833
x_6,x_10,0.64106414
x_9,x_22,0.64101970
x_34,x_37,0.64101965
x_10,x_36,0.64096124
x_16,x_37,0.64091194
x_6,x_27,0.64076989
x_27,x_35,0.64062508
x_10,x_38,0.64049404
x_9,x_17,0.64046330
x_9,x_32,0.64040997
x_16,x_30,0.64037603
x_7,x_15,0.64035615
x_6,x_17,0.64022818
x_6,x_37,0.64016136
x_5,x_10,0.63986656
x_20,x_35,0.63985855
x_7,x_37,0.63980327
x_9,x_30,0.63980059
x_22,x_36,0.63977744
x_10,x_15,0.63977539
x_31,x_37,0.63974829
x_10,x_31,0.63966202
x_10,x_20,0.63930011
x_10,x_37,0.63924617
x_3,x_17,0.63921332
x_5,x_37,0.63920866
x_5,x_15,0.63908894
x_22,x_31,0.63896584
x_10,x_16,0.63889489
x_3,x_16,0.63874422
x_32,x_34,0.63863442
x_17,x_22,0.63862561
x_6,x_22,0.63830953
x_9,x_10,0.63827761
x_10,x_34,0.63824868
x_9,x_27,0.63821414
x_30,x_37,0.63812757
x_27,x_32,0.63812710
x_5,x_35,0.63794434
x_5,x_31,0.63785786
x_17,x_37,0.63777034
x_17,x_38,0.63766682
x_16,x_32,0.63764144
x_34,x_35,0.63760299
x_5,x_20,0.63755955
x_22,x_37,0.63753678
x_15,x_17,0.63723034
x_31,x_34,0.63703257
x_15,x_22,0.63702274
x_17,x_34,0.63687874
x_3,x_5,0.63650539
x_22,x_38,0.63638707
x_3,x_12,0.63631440
x_9,x_12,0.63620945
x_17,x_35,0.63620418
x_17,x_36,0.63619934
x_9,x_15,0.63612390
x_9,x_37,0.63601710
x_6,x_38,0.63591933
x_9,x_38,0.63582457
x_9,x_35,0.63581012
x_7,x_35,0.63558658
x_10,x_22,0.63532101
x_10,x_35,0.63526976
x_9,x_16,0.63488961
x_5,x_36,0.63479100
x_5,x_34,0.63418625
x_22,x_35,0.63361254
x_10,x_17,0.63344932
x_5,x_6,0.63285941
x_5,x_17,0.63285835
x_31,x_35,0.63255469
x_5,x_22,0.63125482
x_22,x_34,0.63080256
x_18,x_24,0.61827634
x_18,x_21,0.61365258
x_11,x_18,0.60907239
