,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,y
x_15,0.00647534,-0.01894028,0.29357577,0.01685195,0.33848469,0.29298527,0.26647124,-0.01301261,0.25329661,0.28882162,0.34349219,0.27439353,-0.00648469,0.02648098,1.00000000,0.36449604,0.27727721,0.64566698,-0.00841239,0.30056167,0.35326214,0.28430745,0.00526371,0.41269357,-0.00627935,-0.00589338,0.33440920,0.00423931,0.01730015,0.36675229,0.37821923,0.26993608,0.09967843,0.30020334,0.29182104,0.28248120,0.27429487,0.26403239,0.39637586,0.52561333
x_16,0.01780164,0.01810267,0.33755163,-0.04366525,0.38503157,0.35744627,0.35776074,0.00207753,0.32974510,0.33683877,0.41732376,0.34602512,0.02456391,0.02032697,0.36449604,1.00000000,0.34913902,-0.11704173,0.02871338,0.35162595,0.42952933,0.35088566,0.01048847,0.45272822,0.02354970,-0.01186812,0.37975139,0.01044016,0.01951068,0.38643583,0.41137170,0.36795627,0.17869355,0.34849458,0.32373761,0.33349482,0.34497601,0.32631845,0.47882558,0.46970435
x_17,-0.01473567,0.00430964,0.29230579,0.00257307,0.34825745,0.29217778,0.28091696,0.02622086,0.25707234,0.27919073,0.35075712,0.30602485,0.00314472,0.00017525,0.27727721,0.34913902,1.00000000,0.66474603,-0.01690138,0.29168347,0.34747659,0.28500950,-0.00285254,0.40549804,0.01269602,-0.00418202,0.35091622,0.02779897,0.01003211,0.33841097,0.36679457,0.30005582,0.13479804,0.29929967,0.27672775,0.26433462,0.27862854,0.25892582,0.38836997,0.53794795
x_18,-0.02232886,-0.01855828,0.19626104,0.03546490,0.23329897,0.18752899,0.15807477,0.01124225,0.15271652,0.17465144,0.21533550,0.19009306,-0.01907370,0.00820758,0.64566698,-0.11704173,0.66474603,1.00000000,-0.03292311,0.19160848,0.21675888,0.17357833,-0.00764901,0.28239799,-0.01154052,-0.00138507,0.23694372,0.02106545,0.00651815,0.24494519,0.25771119,0.16799191,0.05255462,0.19478801,0.18570062,0.17241476,0.16904296,0.15921598,0.24414864,0.44767642
x_19,-0.00660815,0.00348889,0.00704743,0.01309018,-0.01404446,-0.02922997,0.00475212,0.00631315,0.00273734,-0.02831386,-0.01918032,-0.00652849,0.00717859,-0.00233111,-0.00841239,0.02871338,-0.01690138,-0.03292311,1.00000000,-0.01139654,-0.00043715,0.01138820,-0.00311281,-0.01218746,-0.02381724,-0.01150008,-0.02705870,0.00206927,0.00096811,0.00509360,0.00130723,-0.01870115,-0.00139170,0.01740993,0.00852362,0.01192494,-0.00757047,-0.01517881,-0.00715804,-0.01457493
x_20,0.00946656,0.00371951,0.31100505,-0.00214329,0.34214036,0.30567831,0.29263383,0.00608329,0.28322409,0.27791518,0.35428285,0.31475007,0.00948988,-0.01322588,0.30056167,0.35162595,0.29168347,0.19160848,-0.01139654,1.00000000,0.76112098,0.30993729,0.00651326,0.42170879,0.00357893,-0.03269891,0.35799207,-0.00239519,-0.01992537,0.35069459,0.36293172,0.30863384,0.13788715,0.29325448,0.29116048,0.28934613,0.30522505,0.28463251,0.41697837,0.55801286
x_21,-0.00423076,-0.00034717,0.36662624,-0.00078320,0.41804657,0.36694443,0.35310968,0.02798982,0.32935482,0.33705334,0.43359816,0.38012045,0.02178535,-0.01078295,0.35326214,0.42952933,0.34747659,0.21675888,-0.00043715,0.76112098,1.00000000,0.83912129,0.00094824,0.51141520,0.00286265,-0.02697421,0.44331540,-0.00141208,-0.00216301,0.41644379,0.44481721,0.35195382,0.14864955,0.35714152,0.34604010,0.35098259,0.36934459,0.32396034,0.49559537,0.68231199
x_22,-0.01843127,-0.00413817,0.29231554,0.00639113,0.34667525,0.30416118,0.28996945,0.03787329,0.26293088,0.27587743,0.35477755,0.30633517,0.02245647,-0.01426054,0.28430745,0.35088566,0.28500950,0.17357833,0.01138820,0.30993729,0.83912129,1.00000000,-0.00694422,0.42066218,0.00105190,-0.01465189,0.36695732,0.00067123,0.02077064,0.34073190,0.36384769,0.26729089,0.10634583,0.29253292,0.27501255,0.28338842,0.30193483,0.24634296,0.39488834,0.55245019
x_23,0.00754267,0.01392660,-0.01084022,0.02166769,-0.02184545,0.03512972,0.01119967,0.03317102,0.02609575,0.00669494,-0.00504467,-0.01083605,-0.00402488,-0.02644275,0.00526371,0.01048847,-0.00285254,-0.00764901,-0.00311281,0.00651326,0.00094824,-0.00694422,1.00000000,0.00433076,0.00093962,-0.01785731,0.00334681,-0.01238226,-0.01152789,0.01052079,-0.01271069,-0.02906827,-0.00401463,0.02474136,0.01979254,-0.01453927,-0.01417931,-0.01445814,-0.00895462,-0.00344616
x_24,-0.00171994,0.01340187,0.40326226,-0.00153445,0.47439660,0.39560194,0.43158606,0.00136264,0.37270411,0.41899939,0.50534026,0.40628251,0.01859263,-0.00097401,0.41269357,0.45272822,0.40549804,0.28239799,-0.01218746,0.42170879,0.51141520,0.42066218,0.00433076,1.00000000,0.01962272,-0.01929198,0.82560960,-0.00094394,0.01626331,0.82454721,0.47374356,0.40936966,0.20272553,0.42627855,0.41312534,0.40286271,0.41944216,0.39510115,0.58878558,0.55495373
x_25,-0.00441504,-0.02088886,0.02034298,-0.01397677,0.02962207,0.01517058,0.02156124,0.00599666,0.00963759,0.00443505,0.02642914,0.03409924,0.01864615,-0.02644571,-0.00627935,0.02354970,0.01269602,-0.01154052,-0.02381724,0.00357893,0.00286265,0.00105190,0.00093962,0.01962272,1.00000000,0.04079034,0.01891733,-0.00440450,0.02551481,0.01645603,0.01597986,0.03409427,0.02629577,0.03007332,0.01499280,0.02014626,0.00953794,-0.01141325,0.00824519,0.01502023
x_26,-0.04753084,0.00830605,-0.02606410,-0.01822277,-0.01857649,-0.00874582,-0.03385547,0.00571862,-0.02187761,-0.02389754,-0.02729291,-0.01759215,0.00983254,-0.01299767,-0.00589338,-0.01186812,-0.00418202,-0.00138507,-0.01150008,-0.03269891,-0.02697421,-0.01465189,-0.01785731,-0.01929198,0.04079034,1.00000000,-0.00715021,-0.02143846,0.03526004,-0.01747110,-0.02376818,0.00249305,-0.00579751,-0.04694956,-0.00694445,-0.02580791,-0.01352427,-0.01433928,-0.02071811,-0.02832014
x_27,-0.00868500,0.02762775,0.34235485,-0.00549532,0.40642651,0.34443159,0.36911197,0.00837094,0.31771550,0.34427568,0.42160368,0.34474306,0.00000678,0.01654020,0.33440920,0.37975139,0.35091622,0.23694372,-0.02705870,0.35799207,0.44331540,0.36695732,0.00334681,0.82560960,0.01891733,-0.00715021,1.00000000,0.00181791,0.01883043,0.39511434,0.41514246,0.34077678,0.15730713,0.35444962,0.33759281,0.34574396,0.35628302,0.33515181,0.49552771,0.47014695
x_28,-0.02469005,0.03735062,0.01224415,0.00357423,0.01123929,-0.01383110,-0.00310414,0.00417689,-0.00900844,-0.02676895,-0.01197938,0.02249991,0.00070552,0.00074823,0.00423931,0.01044016,0.02779897,0.02106545,0.00206927,-0.00239519,-0.00141208,0.00067123,-0.01238226,-0.00094394,-0.00440450,-0.02143846,0.00181791,1.00000000,-0.00807542,-0.00238137,0.00917443,-0.01428813,-0.01058715,0.01383286,0.01522054,0.00326297,0.01089955,-0.01097733,0.00676848,-0.00140294
x_29,-0.02555498,-0.01815492,0.02842255,-0.00100433,0.02403475,-0.00465020,0.00274586,-0.00565647,0.00239838,0.00258583,0.00108382,-0.00417138,-0.01083916,0.01819674,0.01730015,0.01951068,0.01003211,0.00651815,0.00096811,-0.01992537,-0.00216301,0.02077064,-0.01152789,0.01626331,0.02551481,0.03526004,0.01883043,-0.00807542,1.00000000,0.03074583,-0.00203530,0.01792351,0.02873243,0.02876978,0.00061223,-0.03253269,-0.00693623,0.01475366,-0.00021762,0.00499658
x_30,0.00878441,0.00088433,0.34111580,0.00281519,0.40161927,0.32125610,0.36609474,-0.00244064,0.31135788,0.36289797,0.43207808,0.34116007,0.02803279,-0.01503040,0.36675229,0.38643583,0.33841097,0.24494519,0.00509360,0.35069459,0.41644379,0.34073190,0.01052079,0.82454721,0.01645603,-0.01747110,0.39511434,-0.00238137,0.03074583,1.00000000,0.38864689,0.34875891,0.18387906,0.36720293,0.35884630,0.34289433,0.34866959,0.33092136,0.49879359,0.47527732
x_31,-0.01399073,0.00966468,0.36290708,-0.01899250,0.40452499,0.37705620,0.38347353,0.02251320,0.35428401,0.35438872,0.45017461,0.38151215,0.01011840,-0.00737634,0.37821923,0.41137170,0.36679457,0.25771119,0.00130723,0.36293172,0.44481721,0.36384769,-0.01271069,0.47374356,0.01597986,-0.02376818,0.41514246,0.00917443,-0.00203530,0.38864689,1.00000000,0.35508430,-0.23928611,0.36244712,0.35169208,0.38615545,0.36729753,0.34779918,0.52252102,0.48913959
x_32,0.00023451,-0.02268845,0.29564224,0.00700313,0.34660386,0.28774639,0.29256550,0.01968300,0.26206857,0.28915690,0.34326658,0.27505339,0.01490422,0.00799253,0.26993608,0.36795627,0.30005582,0.16799191,-0.01870115,0.30863384,0.35195382,0.26729089,-0.02906827,0.40936966,0.03409427,0.00249305,0.34077678,-0.01428813,0.01792351,0.34875891,0.35508430,1.00000000,0.68614566,0.30031885,0.31275758,0.27408457,0.28856986,0.26572961,0.40368475,0.56541991
x_33,0.00775489,-0.01222286,0.13334779,0.01754717,0.15705977,0.11651151,0.11937536,0.00593391,0.10642764,0.12598480,0.13624395,0.10452370,0.02027637,0.02583898,0.09967843,0.17869355,0.13479804,0.05255462,-0.00139170,0.13788715,0.14864955,0.10634583,-0.00401463,0.20272553,0.02629577,-0.00579751,0.15730713,-0.01058715,0.02873243,0.18387906,-0.23928611,0.68614566,1.00000000,0.50237842,0.13815371,0.11374213,0.12353062,0.09712999,0.16290403,0.38869577
x_34,0.00144855,0.02974702,0.31260614,0.00030588,0.33464659,0.29984329,0.31312564,0.01379011,0.29514816,0.29328948,0.36229078,0.30836030,0.03442940,0.03177054,0.30020334,0.34849458,0.29929967,0.19478801,0.01740993,0.29325448,0.35714152,0.29253292,0.02474136,0.42627855,0.03007332,-0.04694956,0.35444962,0.01383286,0.02876978,0.36720293,0.36244712,0.30031885,0.50237842,1.00000000,0.27073950,0.32967136,0.30191939,0.26827691,0.41798041,0.54620474
x_35,0.00733125,-0.01448359,0.29638824,0.01026321,0.35368557,0.31427105,0.29094168,-0.00939298,0.26834745,0.26455491,0.34751157,0.31700177,0.00757666,-0.00411139,0.29182104,0.32373761,0.27672775,0.18570062,0.00852362,0.29116048,0.34604010,0.27501255,0.01979254,0.41312534,0.01499280,-0.00694445,0.33759281,0.01522054,0.00061223,0.35884630,0.35169208,0.31275758,0.13815371,0.27073950,1.00000000,0.26834035,0.31998397,0.30188567,0.65042209,0.55796817
x_36,-0.01875359,0.02224287,0.29499289,-0.00288033,0.36150661,0.28019510,0.30219037,-0.01271150,0.25538665,0.29743787,0.36343008,0.30498191,0.01760157,0.02409728,0.28248120,0.33349482,0.26433462,0.17241476,0.01192494,0.28934613,0.35098259,0.28338842,-0.01453927,0.40286271,0.02014626,-0.02580791,0.34574396,0.00326297,-0.03253269,0.34289433,0.38615545,0.27408457,0.11374213,0.32967136,0.26834035,1.00000000,0.30741549,0.29373827,0.63006406,0.54490788
x_37,0.01202927,0.00309255,0.27230548,-0.02333106,0.35066379,0.30079653,0.30273757,-0.02357599,0.25354977,0.30397543,0.34676959,0.26654126,0.01386285,-0.00529189,0.27429487,0.34497601,0.27862854,0.16904296,-0.00757047,0.30522505,0.36934459,0.30193483,-0.01417931,0.41944216,0.00953794,-0.01352427,0.35628302,0.01089955,-0.00693623,0.34866959,0.36729753,0.28856986,0.12353062,0.30191939,0.31998397,0.30741549,1.00000000,0.27987049,0.70012829,0.57556826
x_38,-0.02128646,-0.01726665,0.30008050,0.02480753,0.34211798,0.26261994,0.27538192,0.02345870,0.24760207,0.26352803,0.32971190,0.28396587,0.00675880,-0.00723246,0.26403239,0.32631845,0.25892582,0.15921598,-0.01517881,0.28463251,0.32396034,0.24634296,-0.01445814,0.39510115,-0.01141325,-0.01433928,0.33515181,-0.01097733,0.01475366,0.33092136,0.34779918,0.26572961,0.09712999,0.26827691,0.30188567,0.29373827,0.27987049,1.00000000,0.73609012,0.57012837
x_39,-0.00857201,-0.00169375,0.41666291,-0.00007060,0.50593609,0.41511319,0.42172101,-0.00608051,0.36749809,0.40284968,0.49472584,0.41859946,0.01715178,0.00101918,0.39637586,0.47882558,0.38836997,0.24414864,-0.00715804,0.41697837,0.49559537,0.39488834,-0.00895462,0.58878558,0.00824519,-0.02071811,0.49552771,0.00676848,-0.00021762,0.49879359,0.52252102,0.40368475,0.16290403,0.41798041,0.65042209,0.63006406,0.70012829,0.73609012,1.00000000,0.81399951
y,-0.00579629,-0.00719710,0.55516138,0.00642501,0.47106569,0.52159150,0.52402123,0.01005433,0.57386367,0.58485187,0.71356078,0.58342766,0.02578734,0.00698204,0.52561333,0.46970435,0.53794795,0.44767642,-0.01457493,0.55801286,0.68231199,0.55245019,-0.00344616,0.55495373,0.01502023,-0.02832014,0.47014695,-0.00140294,0.00499658,0.47527732,0.48913959,0.56541991,0.38869577,0.54620474,0.55796817,0.54490788,0.57556826,0.57012837,0.81399951,1.00000000
